timestep,Production,Injection,Pause,fluid_mass,temp,produced_T
348,0,0,1,1E7,50,33.877081654963
349,0,0,1,1E7,50,33.866673417588
350,0,0,1,1E7,50,33.856287347711
351,0,0,1,1E7,50,33.845923595483
352,0,0,1,1E7,50,33.835582310069
353,0,0,1,1E7,50,33.825263618259
354,0,0,1,1E7,50,33.814967668165
355,0,0,1,1E7,50,33.804694585485
356,0,0,1,1E7,50,33.794444487765
357,0,0,1,1E7,50,33.784217496742
358,0,0,1,1E7,50,33.774013714723
359,0,0,1,1E7,50,33.763833242193
360,0,0,1,1E7,50,33.753676173754
361,0,0,1,1E7,50,33.743542598342
362,0,0,1,1E7,50,33.733432608994
363,0,0,1,1E7,50,33.723346275915
364,0,0,1,1E7,50,33.713643064903
